id,dish_name_hebrew,ingredients,gross_yield_per_person,gross_yield_per_gn1_1,preparation_method,notes
1,שעועית עם שום,,,,"לבשל שעועית ירוקה/לבנה עד ריכוך. לטגן שום קצוץ בשמן, להוסיף שעועית, לתבל במלח ופלפל, לערבב ולחמם יחד.",
2,בטטה מתנור,,,,"לחתוך בטטות לקוביות או פלחים. לתבל (שמן, מלח, קינמון או כמון), לאפות ב-190°C כ-35 דק׳ עד רכות.",
3,להזמין תנור,,,,*לא ברור – כנראה שגיאה או מונח פנימי. דרוש בירור.*,
4,ברוקולי תנור,,,,"לחלוט ברוקולי 2 דק׳. לסנן, לתבל בשמן ותבלינים, לאפות ב-200°C 10–12 דק׳ עד פריכות קלה.",
5,כרובית מתנור,,,,"לחלוט כרובית 3–5 דק׳. לתבל (שמן, כורכום, כמון), לאפות ב-200°C 25–30 דק׳ עד זהובה.",
6,רטטוי,,,,"לפרוס קישוא, חציל, עגבנייה. לסדר בשכבות עם שום ותבלינים, להזליף שמן, לכסות ולאפות 40 דק׳ ב-180°C. לחשוף 10 דק׳ לסיום.",
7,אפונה עם גזר,,,,"לבשל גזר ואפונה עד ריכוך, להקפיץ קלות עם שמן, מלח, מעט סוכר. לא לבשל יתר.",
8,אפונה עם גמבה,,,,"לטגן בצל, להוסיף אפונה וגמבה קצוצה, לטגן קלות עם תבלינים. לאדות כ-10 דק׳.",
9,תירס,,,,להשתמש בגרגרים או חצי קלח. לבשל או לאדות 8–10 דק׳. לתבל במלח או חמאה פרווה. אפשר גם לגריל.,grill
10,ירקות מתנור,,,,"לחתוך ירקות שורש (גזר, קישוא, תפו״א, בצל). לתבל בשמן, עשבי תיבול, מלח. לאפות ב-190°C כ-40 דק׳ עד ריכוך.",
11,שומר מתנור,,,,"לחתוך שומר לרבעים. להניח בתבנית עם שמן, מלח, פלפל. לאפות 35–40 דק׳ ב-190°C עד הזהבה וריכוך.",
