id,dish_name_hebrew,ingredients,gross_yield_per_person,gross_yield_per_gn1_1,preparation_method,notes
1,אורז לבן,,,,"מטגנים את האורז על אש נמוכה, מוסיפים מים ביחס של 1:1.5, מלח, פלפל אנגלי ועלי דפנה. מבשלים על אש נמוכה במשך 15 דקות עם מכסה סגור, נותנים לו לעמוד 15 דקות.",
2,אורז צהוב,,,,"לבשל כמו אורז לבן, להוסיף כורכום וגרגרי כוסברה לטעם וצבע. ניתן להוסיף בצל מטוגן.",
3,אטריות,,,,"מטגנים אטריוט ובצל עד להזהבה, מוסיפים מים ביחס של 1:1, מלח ופלפל שחור. מבשלים 5 דקות על אש נמוכה, נותנים לרתוח במשך 20 דקות.",
4,פתיתים,,,,"לטגן פתיתים 2–3 דק׳ עם מעט שמן, להוסיף מים (יחס 1:2), מלח, לבשל מכוסה עד ספיגה מלאה.",
5,פסטה,,,,"לבשל במים רותחים מומלחים לפי הוראות יצרן (8–11 דק׳). לסנן, לשטוף, לשמן קלות.",
6,מג׳דרה,,,,"לטגן בצל עד זהוב, להוסיף אורז ועדשים מבושלים חלקית, מים, כמון, מלח. לבשל מכוסה עד ספיגה.",
7,בורגול,,,,"לצקת מים רותחים ביחס 1:2, לכסות, להמתין 15 דק׳. לאוורר עם מזלג. אפשר לתבל ולערבב עם ירקות.",
8,קינואה,,,,"לשטוף היטב, לבשל עם מים (יחס 1:2), כ-15 דק׳ על אש נמוכה. להסיר מכסה, לאוורר, לתבל.",
9,קוסקוס,,,,"לצקת ציר רותח (יחס 1:1), לכסות ל-10 דק׳, לערבב בעדינות עם שמן. ניתן לאדות שנית לריכוך נוסף.",shabat
10,אורז עם ירקות,,,,"לטגן ירקות (גזר, בצל, קישוא), להוסיף אורז שטוף, מים ותבלינים. לבשל כרגיל עד ספיגה.",
11,חיטה,,,,"לבשל חיטה שלמה מושרית במים רותחים עם מלח עד ריכוך מלא (45–60 דק׳). לסנן, לתבל.",shabat
