id,dish_name_hebrew,ingredients,gross_yield_per_person,gross_yield_per_gn1_1,preparation_method,notes
1,אסאדו,,,,"לתבל את הנתחים (שום, כמון, מלח, פלפל), להניח בתבנית מכוסה. לאפות 3–4 שעות ב-150°C עד רכות מלאה. להוסיף נוזלים לפי הצורך,",
2,בשר ראש,,,,"לבשל בשר ראש שטוף עם מים, להקפיד לקצוף. להוסיף בצל, שורשים, תבלינים. לבשל 3–4 שעות. להגיש עם רוטב מהנוזל,",
3,צלי בקר,,,,"לחתוך לקוביות, לטגן בצל, להוסיף הבשר, מים ותבלינים. לבשל בסיר סגור כ-2 שעות. ניתן להוסיף גזר/תפו״א,",
4,מסאקה,,,,"לטגן חצילים פרוסים. להכין תערובת בקר טחון עם בצל ותבלינים. לסדר בשכבות, לאפות עם רוטב עגבניות עד התייצבות,",
5,קציצות,,,,"לטחון בשר עם בצל, שום, תבלינים. ליצור קציצות, לטגן קלות, לבשל ברוטב (עגבניות או אחר) 30 דק׳. לבדוק שהן יציבות ורכות,",
6,פלפל ממולא,,,,"לרכך פלפלים, למלא בתערובת אורז ובשר, לסדר בסיר עם רוטב עגבניות. לבשל מכוסה כשעה על אש נמוכה,",
7,טורטיה כבד,,,,"לטגן פרוסות כבד עם בצל עד השחמה. למלא טורטיה, לקפל, לטגן שוב קלות או להגיש חם. לוודא שכבד לא יבש,",
8,טורטייה שווארמה,,,,"לצלות פרגית מתובלת על פלאנצ׳ה, לחתוך, למלא טורטיה עם תוספות. לקפל ולהגיש מיד. ניתן לצלות גם על גריל,",grill
9,חמין,,,,"לסדר בתחתית סיר בצל, גריסים, שעועית, בשר, תפו״א וביצים. לתבל, לכסות במים, להביא לרתיחה, להעביר לתנור ב-100°C ל-12–14 שעות,",shabat
10,אנטריקוט על גריל,,,,"לתבל סטייקים, לצלות על גריל חם 3–4 דק׳ לכל צד לפי דרגת עשייה. לתת מנוחה 5 דק׳ לפני הגשה,",grill
11,קבב גריל,,,,"לתבל בשר טחון עם בצל, פטרוזיליה, תבלינים. לעצב קבבונים, לצלות על גריל 3–4 דק׳ לכל צד. לוודא שהמרכז עשוי,",grill
12,צ׳וריסו על גריל,,,,"לחתוך צ׳וריסו לקציצות קטנות או להשאיר שלמות. לצלות על גריל בינוני-חם עד הזהבה מלאה. לבדוק שלא מבושל מדי,",grill
13,כבד עם בצל,,,,"לטגן בצל עד קרמול, להוסיף פרוסות כבד ולבשל 5–6 דק׳ תוך ערבוב עד שהכבד מבושל אך לא יבש,",
14,אנטריקוט מתנור,,,,"לתבל את הסטייק, לצלות על מחבת חמה משני צדדים, ולהעביר לתנור ב-200°C ל-5–6 דק׳ להשלמת הצלייה,",
15,גולש,,,,"לטגן בצל רב, להוסיף קוביות בשר, פפריקה, שום, עגבניות מרוסקות, מים. לבשל שעתיים לפחות. להגיש סמיך.",
