id,dish_name_hebrew,ingredients,gross_yield_per_person,gross_yield_per_gn1_1,preparation_method,notes
1,קישואים בסילאן,,,,"לפרוס קישואים דק, לטגן או לאפות. לערבב עם סילאן, שמן זית, שום, מלח ופלפל.",
2,פלפל מטוגן,,,,"לקלות פלפלים בתנור, לקלף ולחתוך לרצועות. לערבב עם שמן, חומץ, שום, מלח.",
3,כרוב לבן,,,,"לחתוך כרוב דק, לעסות עם מלח. להוסיף שמן, מיץ לימון, פלפל וסוכר. להניח 15 דק׳ לספיגה.",
4,חציל מטוגן,,,,חותכים את החצילים לטבעות ומטגנים בשמן עמוק עד לקבלת צבע כהה.,
5,קרפצ׳ו סלק,,,,"לבשל סלק, לחתוך דק, לתבל בשמן זית, לימון, מלח גס. אפשר עם אגוזים או גבינה.",
6,סלט שורשים,,,,"לגרר גזר, סלרי, סלק חי. לערבב עם לימון, שמן זית, סילאן או דבש, מלח. להגיש קר.",
7,גזר מרוקאי,,,,"לבשל גזר פרוס, לסנן. לתבל בפפריקה, כמון, שמן, שום כתוש, מיץ לימון. להגיש קר או בטמפ׳ חדר.",
8,חציל בטחינה,,,,"לקלות חצילים, לקלף, לקצוץ. לערבב עם טחינה, מים, לימון, שום, מלח. להגיש קר.",
9,חצילים פיקנטי,,,,"לטגן קוביות חציל, להשרות ברוטב חריף (שום, פפריקה, עגבניות, סחוג/צ׳ילי), לקרר ולהגיש.",
10,עגבניות שרי,,,,"לחתוך עגבניות חצאים, לערבב עם שום, שמן זית, בזיליקום או פטרוזיליה, מלח ופלפל.",
11,גזר מתוק,,,,"לבשל גזר, לחתוך לפרוסות. להוסיף סילאן, קינמון, שמן, מלח. לערבב ולהגיש קר.",
12,כרוב כבוש,,,,"לחתוך כרוב, להמליח ולערבב. להכניס לכלי עם מים, מלח, שום, חומץ. להמתין 3–4 ימים.",
13,סלט טורקי,,,,"לטגן בצל, להוסיף עגבניות מרוסקות, פלפל ירוק חריף, שום. לבשל עד צמצום. להגיש קר או פושר.",
14,סלק מבושל,,,,"לבשל סלק, לקלף ולחתוך לקוביות. לתבל בשמן, מיץ לימון, מלח, לפעמים שום כתוש.",
15,טחינה,,,,"לערבב טחינה גולמית עם מים קרים בהדרגה, לימון, מלח, שום. לערבב עד מרקם סמיך ובהיר.",
16,חומוס פול,,,,"להניח חומוס מוכן בצלחת, להוסיף פול מבושל, שמן זית, טחינה, פפריקה, כמון. להגיש חם או פושר.",
17,כרוב אדום במיונז,,,,"לחתוך כרוב דק, להשרות בלימון. לסנן, לערבב עם מיונז, מלח, מעט סוכר. לקרר לפני הגשה.",
18,מלפפון בשמיר,,,,"לפרוס מלפפונים, לערבב עם שמיר קצוץ, שום, חומץ, שמן, מלח. להניח 30 דק׳ לקירור.",
19,סלט תירס,,,,"לערבב גרגירי תירס מבושלים עם מיונז, בצל קצוץ, מלח, פלפל. להגיש קר.",
20,כרוב אדום עם ירקות,,,,"לערבב כרוב אדום חתוך עם גזר, גמבה. לתבל בלימון, שמן, סוכר, מלח. להניח לספיגה.",
21,כרוב בסילאן,,,,"לחתוך כרוב, לאדות עם סילאן, בצל, שמן, מלח. לטגן קלות עד השחמה קלה.",
22,חצילים מטוגן,,,,"לטגן פרוסות חציל בשמן עמוק. להניח על נייר סופג. לתבל במלח, אפשר גם שום ולימון.",
23,עלי גפן ממולא,,,,"למלא עלי גפן באורז מתובל, לסדר בסיר, להוסיף מים, שמן, לימון. לבשל מכוסה כשעה על אש נמוכה.",
24,סלט ירקות פשוט,,,,"לחתוך עגבניות ומלפפונים 50/50, לתבל בלימון, שמן זית, מלח ופלפל. ניתן להוסיף פטרוזיליה.",
25,כרוב עם שמיר,,,,"לחתוך כרוב דק, להוסיף שמיר קצוץ, לימון, שמן, מלח. לערבב ולהגיש מיד או אחרי קירור.",
